Year,Team,Division,TotalSalary,Won,Lost,Errors,Shutouts,DivisionWins,WorldSeriesWins
2016,CHN,C,173555456,103,58,511,15,Y,Y
2016,CIN,C,94305559,68,94,786,8,N,N
2016,CLE,C,60928567,94,67,617,11,Y,N
2016,COL,W,94645071,75,87,779,9,N,N
2016,DET,C,190855981,86,75,672,8,N,N
2016,HOU,W,92401200,84,78,663,8,N,N
2016,KCA,C,138095458,81,81,674,7,N,N
2016,LAA,W,130351333,74,88,676,12,N,N
2016,LAD,W,200363380,91,71,598,15,Y,N
2016,MIA,E,70886671,79,82,646,12,N,N
2016,MIL,C,57073313,73,89,650,7,N,N
2016,MIN,C,96283200,59,103,814,3,N,N
2016,NYA,E,205867135,84,78,660,10,N,N
2016,NYN,E,145426379,87,75,574,13,N,N
2016,OAK,W,75876234,69,93,718,7,N,N
2016,PHI,E,74462000,71,91,739,12,N,N
2016,PIT,C,101771166,78,83,679,5,N,N
2016,SDN,W,93853314,68,94,708,9,N,N
2016,SEA,W,123457243,86,76,647,8,N,N
2016,SFG,W,148863777,87,75,593,11,N,N
2016,SLN,C,123128499,86,76,656,10,N,N
2016,TBA,E,71282743,68,94,665,8,N,N
2016,TEX,W,129955390,95,67,700,6,Y,N
2016,TOR,E,131179900,89,73,613,10,N,N
2016,WAS,E,140936678,95,67,570,12,Y,N
2017,ARI,W,78042999,93,69,586,11,N,N
2017,ATL,E,137339527,72,90,756,6,N,N
2017,BAL,E,144596949,75,87,795,10,N,N
2017,BOS,E,173704598,93,69,610,11,Y,N
2017,CHA,C,109301167,67,95,755,3,N,N
2017,CHN,C,168263502,92,70,636,8,Y,N
2017,CIN,C,81840785,68,94,821,8,N,N
2017,CLE,C,115999500,102,60,529,19,Y,N
2017,COL,W,101709904,87,75,721,9,N,N
2017,DET,C,180250600,64,98,846,4,N,N
2017,HOU,W,127443900,101,61,662,9,Y,Y
2017,KCA,C,134425249,80,82,737,6,N,N
2017,LAA,W,123549166,80,82,672,10,N,N
2017,LAD,W,189394811,104,58,543,16,Y,N
2017,MIA,E,106784671,77,85,772,7,N,N
2017,MIL,C,49143998,86,76,642,12,N,N
2017,MIN,C,94287500,85,77,732,11,N,N
2017,NYA,E,171746342,91,71,599,7,N,N
2017,NYN,E,174491596,70,92,799,5,N,N
2017,OAK,W,69636667,75,87,743,6,N,N
2017,PHI,E,86513378,66,96,729,7,N,N
2017,PIT,C,96133666,75,87,676,12,N,N
2017,SDN,W,32128066,71,91,742,12,N,N
2017,SEA,W,142207720,78,84,713,9,N,N
2017,SFG,W,156531277,64,98,726,5,N,N
2017,SLN,C,131669599,83,79,646,12,N,N
2017,TBA,E,68296366,80,82,638,9,N,N
2017,TEX,W,172848063,78,84,742,6,N,N
2017,TOR,E,123344438,76,86,720,6,N,N
2017,WAS,E,163375489,97,65,623,5,Y,N
