Year,TN,TP,disNH4,disNO3,disPO4,TDN,TDP
2022,1.921644,0.143,0,0,0,0,0
2022,1.35,0.067,0,0,0.022,0,0
2022,2.426049,0.124,0,0,0,0,0
2022,2.11,0.32,0,0,0.0121,0,0
2023,0.51,0.03,0,0.1173,0,0,0
2023,0,0,0,0,0,0,0
2021,1.379,0.044,0,0.159463,0,0,0
2021,1.039,0.041,0,0.0807,0,0,0
2021,0.986,0.055,0,0.0762,0,0,0
2021,0.993,0.045,0,0.0652,0,0,0
2021,1.025,0.038,0.0634,0.1173,0,0,0
2021,0.98,0.043,0,0.0428,0,0,0
2021,1.071,0.05,0,0.0644,0,0,0
2021,1.073,0.047,0,0.0285,0,0,0
2022,0.939,0.093,0.0212,0.0295,0.0107,0,0
2022,0.88,0.043,0,0,0,0,0
2022,0.94,0.047,0,0,0,0,0
2022,2.716,0.083,0,0.0521,0,0,0
2022,1.054626,0.024,0.0595,0.0227,0,0,0
2022,1.145224,0.032,0,0.0367,0,0,0
2022,1.361811,0.02,0,0,0,0,0
2022,1.19,0.056,0,0,0,0,0
2022,1.93792,0.178,0,0,0,0,0
2022,2.159811,0.478,0,0,0,0,0
2022,1.834232,0.117,0,0.0882,0,0,0
2022,1.591444,0.094,0,0.1049,0,0,0
2022,1.615372,0.1,0,0.0934,0,0,0
2022,1.61,0.2,0.0261,0,0,0,0
2022,1.35,0.08,0.0575,0,0,0,0
2023,1.21,0.14,0,0.1337,0,0,0
2023,1.21,0.07,0,0,0,0,0
2023,1.32,0.08,0,0,0,0,0
2023,1.23,0.08,0,0,0,0,0
2023,0,0,0,0,0,0,0
2021,1.18,0.185,0,0.0627,0.0577,0,0
2022,10.538,0.955,0,0.0837,0,0,0
2022,4.115015,0.135,0,0,0,0,0
2022,7.21,1,0,0,0,0,0
2021,0.627,0.051,0,0.0462,0.0214,0,0
2022,1,0.071,0.0122,0.0514,0,0,0
2022,13.304,1.655,0,0.0834,0,0,0
2022,3.296577,0.198,0,0,0,0,0
2022,2.48,0.134,0,0,0,0,0
2022,4.493897,0.343,0,0,0,0,0
2022,5.35,0.51,0,0,0,0,0
2023,1.78,0.38,0.0204,0.1132,0.0915,0,0
2023,1.11,0.32,0,0.1092,0.1044,0,0
2023,0.83,0.05,0.0857,0.1208,0,0,0
2023,2.08,0.19,0.04,0.1488,0,0,0
2023,0,0,0,0,0,0,0
2021,0.511,0.034,0.0216,0.0529,0,0,0
2022,3.966,0.165,0,0.0727,0,0,0
2022,5.113014,0.439,0.0693,0,0,0,0
2022,13.07,0.062,0.6932,10.4724,0,0,0
2023,0.82,0.04,0,0.218,0,0,0
2023,1.21,0.05,0,0.0882,0,0,0
